# CNS11643 中的笔顺表
# 原始数据为 http://www.cns11643.gov.tw/AIDB/Open_Data.zip
〇	5
㐀	21121
㐁	125341
㐂	151515
㐃	542
㐄	152
㐅	34
㐆	25111212341252
㐇	355
㐈	345
㐉	155
㐊	1215
㐋	1215
㐌	31525
㐍	34435
㐎	41345
㐏	12515
㐐	531545
㐑	354445
㐒	532515
㐓	125155
㐔	412515
㐕	251215
㐖	1212515
㐗	1213155
㐘	4312345
㐙	12514315
㐚	12512515
㐛	32132515
㐜	154434435
㐝	151352515
㐞	122111345
㐟	311121115
㐠	34435515
㐡	35132522134
㐢	44434435515
㐣	41312511125
㐤	351225111134
㐥	3411243125111535
㐦	1253321151113431155
㐧	5543
㐨	54555455
㐩	11321132
㐪	15234
㐫	413452
㐬	4154325
㐭	41252511
㐮	4134112213534
㐯	41251251312342511
㐰	32251
㐱	34333
㐲	32134
㐳	32135
㐴	32354
㐵	32115
㐶	25111212341252
㐷	32551
㐸	323534
㐹	323115
㐺	323234
㐻	322534
㐼	323312
㐽	323534
㐾	25111212341252
㐿	323115
㑀	321344
㑁	3225252
㑂	3212534
㑃	3255453
㑄	3255441
㑅	3231211
㑆	3225135
㑇	3235511
㑈	3215534
㑉	32351354
㑊	32413534
㑋	32251221
㑌	32111215
㑍	32311234
㑎	32555252
㑏	32445154
㑐	32211534
㑑	32325111
㑒	34125134
㑓	25111212341252
㑔	32132534
㑕	32252354
㑖	32322512
㑗	323251113
㑘	321132543
㑙	321221115
㑚	325113552
㑛	321251234
㑜	321513312
㑝	321121132
㑞	324334132
㑟	323212134
㑠	322254121
㑡	325115452
㑢	321215452
㑣	3212341234
㑤	32211225121
㑥	3225113533
㑦	3233511344
㑧	3231234551
㑨	3225131134
㑩	3225221354
㑪	3241343211
㑫	3234154544
㑬	3253112251
㑭	3225121132
㑮	32451251112
㑯	32132511134
㑰	32551353334
㑱	32545531234
㑲	32122543112
㑳	323552335523
㑴	325114525254
㑵	324134431134
㑶	323115431234
㑷	325435441515
㑸	321225112515
㑹	341251212511
㑺	323241112135
㑻	3244545443252
㑼	3225121354251
㑽	3224345251121
㑾	3235444111251
㑿	3255525111234
㒀	3241432512251
㒁	3225121431121
㒂	32211212132511
㒃	32111251113454
㒄	32354413444444
㒅	32413543543534
㒆	32341251544544
㒇	32311222214444
㒈	32121221113134
㒉	32243452511234
㒊	3253453421212121
㒋	32122111343312
㒌	32433443344535
㒍	32545454554534
㒎	32113431112111
㒏	32445112213444
㒐	32314314352511
㒑	321444324111215
㒒	322243143111234
㒓	321214311124554
㒔	322522135251214
㒕	324155332411121
㒖	322112251125214
㒗	321221145154121
㒘	321251255441431
㒙	3255444432511252
㒚	3234431215114544
㒛	3254454432411121
㒜	3212533211511134
㒝	32211225221134543
㒞	32252324111212525
㒟	324121112544443534
